Name,Status,PopulationCensus1972.09.16,PopulationCensus1981.03.01,PopulationCensus1998.03.01,PopulationCensus2017.03.15,Var.7,count
Lodhran,District,"558,793","739,912","1,171,800","1,700,620",→,95
Mandi Bahauddin,District,"721,833","846,114","1,160,552","1,593,292",→,96
Mianwali,District,"595,134","711,529","1,056,620","1,546,094",→,97
Multan,District,"1,506,223","1,970,075","3,116,851","4,745,109",→,98
Muzaffargarh,District,"1,069,358","1,497,736","2,635,903","4,325,483",→,99
Nankana Sahib,District,...,...,"1,044,865","1,356,374",→,100
Narowal,District,"834,501","908,977","1,265,097","1,709,757",→,101
Okara,District,"1,123,812","1,487,261","2,232,992","3,039,139",→,102
Pakpattan,District,"615,742","843,623","1,286,680","1,823,687",→,103
Rahim Yar Khan,District,"1,398,879","1,841,451","3,141,053","4,814,006",→,104
Rajanpur,District,"456,391","638,921","1,103,618","1,995,958",→,105
Rawalpindi,District,"1,744,949","2,121,450","3,363,911","5,405,633",→,106
Sahiwal,District,"944,656","1,281,526","1,843,194","2,517,560",→,107
Sargodha,District,"1,557,641","1,911,849","2,665,979","3,703,588",→,108
Sheikhupura,District,...,...,"2,276,164","3,460,426",→,109
Sialkot,District,"1,509,424","1,802,505","2,723,481","3,893,672",→,110
Toba Tek Singh,District,"1,084,442","1,134,572","1,621,593","2,190,015",→,111
Vehari,District,"1,027,319","1,328,808","2,090,416","2,897,446",→,112
Sindh,Province,"14,155,909","19,028,666","30,439,893","47,893,244",→,113
Badin,District,...,...,"1,106,272","1,804,516",→,114
Dadu,District,"556,669","705,669","1,106,717","1,550,266",→,115
Ghotki,District,"401,318","558,058","968,797","1,647,239",→,116
Hyderabad,District,"814,060","1,005,460","1,494,866","2,201,079",→,117
Jacobabad,District,"402,114","586,234","727,190","1,006,297",→,118
Jamshoro,District,"254,318","375,942","582,094","993,142",→,119
Karachi Central,District,...,...,"2,277,931","2,972,639",→,120
Karachi East,District,...,...,"1,472,896","2,909,921",→,121
Karachi South,District,...,...,"1,478,047","1,791,751",→,122
Karachi West,District,...,...,"2,089,509","3,914,757",→,123
Kashmore,District,"299,589","413,629","677,120","1,089,169",→,124
Khairpur,District,"724,935","981,190","1,547,751","2,405,523",→,125
Korangi,District,...,...,"1,561,742","2,457,019",→,126
Larkana,District,"460,735","572,006","1,001,608","1,524,391",→,127
Malir,District,...,...,"976,193","2,008,901",→,128
Matiari,District,"336,367","438,319","494,244","769,349",→,129
Mirpur Khas,District,...,...,"1,006,329","1,505,876",→,130
Naushahro Feroze,District,"685,829","829,051","1,087,571","1,612,373",→,131
Qambar Shahdadkot,District,"460,722","566,574","924,294","1,341,042",→,132
Sanghar,District,...,...,"1,319,881","2,057,057",→,133
Shaheed Benazir Abad (Nawabshah),District,"678,982","838,350","1,102,584","1,612,847",→,134
Shikarpur,District,"530,551","596,409","880,438","1,231,481",→,135
Sujawal,District,"356,338","361,799","513,702","781,967",→,136
Sukkur,District,"460,649","575,962","931,387","1,487,903",→,137
Tando Allahyar,District,"256,994","329,370","493,526","836,887",→,138
Tando Muhammad Khan,District,...,...,"438,624","677,228",→,139
Tharparkar,District,"359,357","540,985","914,291","1,649,661",→,140
Thatta,District,"319,698","399,240","599,492","979,817",→,141
Umerkot,District,"265,683","383,018","664,797","1,073,146",→,142
Pakistan,Republic,"65,309,340","84,253,644","132,352,279","207,776,954",,143
